"CONTRATO";"OBJETO_CONTRATO";"NUMERO_ADVERTENCIA";"DATA_ADVERTENCIA";"DESCRICAO_ADVERTENCIA";"MOTIVO_ADVERTENCIA";"SOLICITACAO_ADVERTENCIA"
CT-00078/2017/SST;CENTRO DE REFERÊNCIA DA ASSISTENCIA SOCIAL - CRAS;2;2017-12-13 00:00:00;Descumprimento de Prazo ;"A obra ainda não foi iniciada até o presente momento conforme fotos cadastradas no SICOP na data de 12-12-2017; Ausência do preposto na obra; e Descumprimento do cronograma físico financeiro e consequentemente do contrato, ensejando a impossibilidade do cumprimento do prazo contratual";A empresa deverá inicializar os serviços imediatamente sob pena de abertura de processo administrativo para apurar as faltas cometidas conforme as clausulas  contratuais. Podendo a administração pública rescindir o contrato unilateralmente, realizar a retenção da garantia contratual, podendo até aplicar a suspensão do direito de licitar com a administração.
CT-00078/2017/SST;CENTRO DE REFERÊNCIA DA ASSISTENCIA SOCIAL - CRAS;3;2018-02-01 00:00:00;Desconformidade do executado com o projetado;Alteração na dimensão das seções dos pilares circulares (P5,P6 e P10), modificando o projeto estrutural e arquitetônico sem consulta aos projetistas responsáveis pelos projetos;que a empresa justifique e apresente autorização dos responsáveis técnicos para alteração dos respectivos projetos
CT-00078/2017/SST;CENTRO DE REFERÊNCIA DA ASSISTENCIA SOCIAL - CRAS;4;2018-03-26 00:00:00;Descumpimento Contratual;"Descumprimento do cronograma físico financeiro; Não disponível documentações: diário de obra e projetos; O preposto não se encontrava na obra; Não foi executado o serviço ""Instalação provisória de unid. sanit. c/ 5,00m²""; Má execução dos serviços alvenaria, estrutura, locação incorreta dos pontos elétricos tanto nas paredes quanto no teto, os tapumes instalados não atendem o especificado em projeto; falta limpeza no canteiro de obra";"A empresa deverá cumprir o cronograma físico financeiro conforme o estipulado no contrato; corrigir os serviços de alvenaria e estrutura que se encontram fora de prumo e alinhamento; relocar conforme projeto as caixas de passagens elétricas de teto e parede"
CT-00078/2017/SST;CENTRO DE REFERÊNCIA DA ASSISTENCIA SOCIAL - CRAS;5;2018-04-12 00:00:00;Inexecução Contratual;"Descumprimento do cronograma físico financeiro; Não disponibilidade de diário de obra; O preposto não se encontrava na obra; Não foi executado o serviço ""Instalação provisória de unid. sanit. c/ 5,00m²""";"A empresa deverá cumprir o cronograma físico financeiro conforme o estipulado no contrato; disponibilizar diário de obra; executar o serviço ""Instalação provisória de unid. sanit. c/ 5,00m²"""
CT-00078/2017/SST;CENTRO DE REFERÊNCIA DA ASSISTENCIA SOCIAL - CRAS;6;2018-06-15 00:00:00;Inexecução contratual;"em vistoria no dia 15/06/2018, foi constatado que não havia trabalhadores na obra; a obra estava aberta com materiais expostos ao tempo; as calçadas não foram executadas em conformidade com o projeto/orçamento (Calçadas de concreto desempenado com 6 cm) e as boas práticas de construção";"manter a obra limpa; colocar equipe na obra; cumprir com as especificações do projeto/orçamento na execução das calçadas"
CT-00079/2017/SST;CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS;1;2018-04-11 00:00:00;Observação da mão-de-obra;Há poucos funcionários no canteiro de obras, atrasando o cronograma da obra.;Solicitamos que seja aumentada a equipe no canteiro de obras para cumprimento do prazo conforme previsto em contrato.
CT-00079/2017/SST;CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS;2;2018-06-18 00:00:00;Observação da medição nº 10 - serviço INFRAESTRUT.;Empresa solicitou pagamento do serviço de Infraestrutura: LASTRO DE CONCRETO MAGRO PARA FUNDAÇÕES. Como retornei à ADR na data de 28/05/2018 e a obra já estava com percentual de execução físico de 50%, subtende-se que se o referente serviço não foi pago, o mesmo não foi executado.;Não farei o pagamento do referido serviço, pois se ele tivesse sido executado, já teria sido pago nas medições anteriores.
CT-00079/2017/SST;CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS;3;2018-06-25 00:00:00;Emissão Habite-se;Desde o dia 08 de agosto entro em contato com a SST/PACTO a respeito do Parecer da Prefeitura Municipal de Erval Velho quanto à emissão do Habite-se. Enviei cada Parecer à empresa JM GATO para que a mesma realizasse as alterações nos banheiros acessíveis, para que a última medição do CT-00079/2017-SST pudesse ser realizada, tendo em vista que este contrato venceu dia 25/06/2018 no SICOP. Porém, não obtive êxito.;Que a empresa verifique junto à SST/PACTO os itens que foram orçados na licitação e qual solução deve ser tomada para que possamos entregar esta obra à Prefeitura Municipal de Erval Velho na maior brevidade possível.
CT-00079/2017/SST;CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS;4;2018-06-25 00:00:00;Emissão do Habite-se e entrega da obra;Desde o dia 08 de agosto entro em contato com a SST/PACTO a respeito do Parecer da Prefeitura Municipal de Erval Velho quanto à emissão do Habite-se. Enviei cada Parecer à empresa JM GATO para que a mesma realizasse as alterações nos banheiros acessíveis, para que a última medição do CT-00079/2017-SST pudesse ser realizada, tendo em vista que este contrato venceu dia 25/06/2018 no SICOP. Porém, não obtive êxito. Prefeitura necessita de parecer do PACTO para que possa realizar as alterações.;"Que a SST/PACTO verifique os itens que foram orçados na licitação, realize um Parecer referente ao projeto e planilha, para que
possamos entregar à Prefeitura Municipal de Erval Velho, assim a mesma realizará as intervenções para emissão do Habite-se na maior brevidade possível, tendo em vista que a obra venceu a quatro meses. Já enviei inúmeros e-mails ao Pacto, porém, todos sem retorno."
CT-00079/2017/SST;CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS;5;2020-01-09 00:00:00;Demora na finalização da obra;Depois da etapa jurídica estar concluída, assim como os prazos, saiu a portaria de número 153, do dia 03/09/2019 e no dia 10/10/2019 foi enviado o relatório de vistoria de número 17 com os apontamentos para a finalização adequada da obra e posterior pagamento dos itens executados e não pagos. A empresa, depois de muita insistência, foi na obra duas vezes, porém sem finalizar adequadamente. Os atrasos podem gerar passivos para o estado e vencimento do contrato antes da finalização do mesmo.;Finalização urgente da obra atendendo todos os itens levantados no relatório.
CT-00395/2017/SSP-FMSP;DELEGACIA REGIONAL DE JARAGUÁ DO SUL-CIRETRAN-IML;1;2018-05-19 00:00:00;Advertência;Atraso na execução do contrato nº 395/SSP/2017, de acordo com o estabelecido no referido contrato (cláusula segunda - dos prazos de início e conclusão dos serviços e cláusula décima segunda - das sanções administrativas);Aplicação de advertência para a empresa ML PROJETOS - ME.
CT-00084/2017/SST;CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS;1;2017-11-29 00:00:00;Inexecução contratual;"Ausência do preposto na obra; Ritmo lento; Descumprimento do cronograma físico financeiro e consequentemente do contrato, ensejando a impossibilidade do cumprimento do prazo contratual; Na execução da estrutura o pilar P9 está com seção diferente do projeto; Na execução do hidrossanitário, elétrica e telecom não detectamos as esperas (nicho na laje) para passagens dos condutores do pluvial, eletrodutos de elétrica e telecom";A empresa deverá adequar os serviços ao contrato imediatamente sob pena de abertura de processo administrativo para apurar as faltas cometidas conforme as clausulas contratuais. Podendo a administração pública rescindir o contrato unilateralmente, realizar a retenção da garantia contratual, podendo até aplicar a suspensão do direito de licitar com a administração
CT-00084/2017/SST;CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS;2;2017-12-13 00:00:00;Inexecução Contratual;"Ausência de funcionários na obra, inclusive o preposto; Ausência de Diário de Obra";Que a empresa deverá cumprir rigorosamente o contrato assinado entre as partes. Podendo a administração pública rescindir o contrato unilateralmente, realizar a retenção da garantia contratual, podendo até aplicar a suspensão do direito de licitar com a administração
CT-00084/2017/SST;CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS;3;2018-02-01 00:00:00;Desconformidade do executado com o projetado;Alteração na dimensão das seções dos pilares circulares (P5,P6 e P10), modificando o projeto estrutural e arquitetônico sem consulta aos projetistas responsáveis pelos projetos;que a empresa justifique e apresente autorização dos responsáveis técnicos para alteração dos respectivos projetos
CT-00084/2017/SST;CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS;4;2018-03-26 00:00:00;Inexecução contratual;"Descumprimento do cronograma físico financeiro; Não disponível documentações: diário de obra e projetos; O preposto não se encontrava na obra; Não foi executado o serviço ""Instalação provisória de unid. sanit. c/ 5,00m²""; Má execução dos serviços alvenaria, estrutura, locação incorreta dos pontos elétricos tanto nas paredes quanto no teto";"A empresa deverá cumprir o cronograma físico financeiro conforme o estipulado no contrato; corrigir os serviços de alvenaria e estrutura que se encontram fora de prumo e alinhamento; relocar conforme projeto as caixas de passagens elétricas de teto e parede"
CT-00084/2017/SST;CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS;5;2018-04-12 00:00:00;Inexecução Contratual;"Descumprimento do cronograma físico financeiro; Não disponibilidade de diário de obra; O preposto não se encontrava na obra; Não foi executado o serviço ""Instalação provisória de unid. sanit. c/ 5,00m²""";"A empresa deverá cumprir o cronograma físico financeiro conforme o estipulado no contrato; disponibilizar diário de obra; executar o serviço ""Instalação provisória de unid. sanit. c/ 5,00m²"""
CT-00084/2017/SST;CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS;6;2018-05-18 00:00:00;Inexecução contratual;"Descumprimento do cronograma físico financeiro; Há ocupação da obra (pessoas dormindo em barracas dentro da obra), instalação de cozinha provisória dentro de obra; Não disponível documentações: diário de obra e projetos; O preposto não se encontrava na obra; Não foi executado o serviço ""Instalação provisória de unid. sanit. c/ 5,00m²""; Não havia ninguém na obra; Não foram corrigidos a locação dos pontos elétricos tanto nas paredes quanto no teto.";"A empresa deverá cumprir o estipulado no contrato; retomar a obra; limpar a obra; executar o abrigo de obra para promover condições mínimas de salubridade e segurança dos trabalhadores; construir a instalação provisória de unid. sanit. c/ 5,00m², relocar conforme projeto as caixas de passagens elétricas de teto e parede."
CT-00084/2017/SST;CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS;7;2018-06-15 00:00:00;Inexecução contratual;"em vistoria no dia 15/06/2018, foi constatado que não havia trabalhadores na obra; a obra estava aberta com materiais expostos ao tempo; as calçadas não foram executadas em conformidade com o projeto/orçamento e as boas práticas de construção ";"manter a obra limpa; colocar equipe na obra; cumprir com as especificações do projeto/orçamento na execução das calçadas"
CT-00084/2017/SST;CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS;8;2018-07-10 00:00:00;INEXECUÇÃO CONTRATUAL;"em vistoria no dia 17/07/2018, foi constatado que as aberturas precisavam de correção, pois apresentavam rebarbas cortantes; as calçadas precisavam ser refeitas, pois estavam fora de nivelamento e com acabamento ruim; a cobertura necessitava  ajustes nas calhas, pois estava apresentando muitos pontos de infiltração.";"manter a obra limpa; corrigir as aberturas; manter equipe na obra; cumprir com as especificações do projeto/orçamento na execução das calçadas; e corrigir todos os pontos de infiltração consequentes da execução das calhas; que a contratada acabe a obra o mais rápido possível visto que o contrato encontrasse vencido desde o dia 10/07/2018."
CT-00094/2017/SST;CENTRO DE REFERÊNCIA DA ASSISTENCIA SOCIAL - CRAS;1;2018-03-20 00:00:00;Obra em Ritmo Lento;Em vistoria realizada no dia 20/03/2018, contatou-se o ritmo lento da obra em face ao cronograma proposto e aceito pela construtora. Vários são os serviços pendentes que deveriam estar concluidos até a presente data. ;Solicita-se que seja adequado o cronograma com a execução da obra em virtude que o prazo de conclusão da mesma finda-se em 25 dias. Caso a construtora necessite, deve apresentar recurso de solicitação de aditivo contratual de prazo, alegando seus motivos, sendo que os mesmos serão analisados por essa fiscalização. Não serão aceitos aditivos contratuais sem fundada justificativa técnica e que represente a real situação dos atrasos ora vistos na execução da obra.
CT-00094/2017/SST;CENTRO DE REFERÊNCIA DA ASSISTENCIA SOCIAL - CRAS;2;2018-04-10 00:00:00;Obra em ritmo Lento;Em visita realizada na data de hoje (10/04/2018) constatou-se o ritmo lento por parte da empresa executora dos serviços, em relação a última visita. Por conta da solicitação de aditivo contratual de prazo, verificou-se que não está sendo considerado o cronograma ora apresentado pela empresa e os motivos expostos não condizem com a realidade. No tocante a solicitação, foi considerado prazo de 60 dias para conclusão da obra, conforme relatório do pré-aditivo anexo a essa advertencia.;Que seja priorizado o cronograma e retomado os trabalhos em ritmo acelerado, considerando a boa técnica, para conclusão em nova data, agora readequado em forma de aditivo contratual de prazo.
CT-00094/2017/SST;CENTRO DE REFERÊNCIA DA ASSISTENCIA SOCIAL - CRAS;3;2018-05-04 00:00:00;Obra em Ritmo Lento;Na data de 05 de Maio do corrente ano, foi realizada visita na obra onde pode-se observar que o ritmo do andamento dos trabalhos continuam lentos, comprometendo assim a entrega dentro dos prazos estabelecidos e já aditados. Verifica-se a falta de comprometimento por parte da empresa com a regularização dos trabalhos em consonância com o cronograma ora apresentado. Neste aspecto, essa fiscalização alerta que os prazos não serão cumpridos.;Que seja ampliado as equipes de trabalho, estabelecendo novas frentes de execução e que seja reestabelecido o ritmo necessário para conclusão da obra.
CT-00813/2017/SES-FESAUDE;HOSPITAL REGIONAL HANS DIETER SCHMIDT;1;2019-05-05 00:00:00;Primeira Advertência;Empresa não cumpriu o prazo de conclusão do projeto e não encaminhou os relatórios de medição.;Encaminhar com urgência o projeto e os relatórios de medição.
CT-00015/2017/SJC;COMPLEXO PENITENCIÁRIO DA REGIÃO DE CURITIBANOS;1;2018-04-17 00:00:00;DIVERGÊNCIAS ENTRE PROJETO E EXECUÇÃO DOS MUROS.;"1)A IMPERMEABILIZAÇÃO EXECUTADA NÃO É A MESMA QUE FOI SOLICITADA NA PLANILHA DE SERVIÇOS;
2) OS PILARES DUPLOS NÃO ESTÃO LOCADOS CONFORME O PROJETO;
3) EM ALGUNS PONTOS DO MURO, A ALTURA ESTÁ MENOR QUE A ESPECIFICADA EM PROJETO.
";CORRIGIR TODOS OS ITENS.
CT-00015/2017/SJC;COMPLEXO PENITENCIÁRIO DA REGIÃO DE CURITIBANOS;2;2019-03-25 00:00:00;Serviços executados em desacordo com o contrato;"Após vistoria na obra, observamos que alguns serviços estão em desacordo com o especificado no contrato, além de não estarem concluídos, conforme solicitação da fiscalização.
";Conclusão dos serviços.
CT-00426/2017/SSP-FMSP;SSP - SECRETARIA DE ESTADO DE SEGURANÇA PÚBLICA;1;2018-07-10 00:00:00;Advertência 01;Atraso na entrega dos projetos, não cumprindo o cronograma estabelecido entre as partes;Manifestação da empresa e entrega dos projetos
CT-00483/2017/SSP-FMSP;INSTALÇÕES POLICIA CIVIL POLICIA MILITAR E CORPO DE BOMBEIROS;1;2018-07-10 00:00:00;Advertência 01;Atraso na entrega dos projetos, não cumprindo o cronograma estabelecido entre as partes;Manifestação da empresa e enterga dos projetos
CT-00482/2017/SSP-FMSP;PMSC - POLÍCIA MILITAR DE SC;1;2018-07-10 00:00:00;Advertência 01;Atraso na entrega dos projetos, não cumprindo o cronograma estabelecido entre as partes;Manifestação da empresa e entrega dos projetos
CT-00535/2017/SSP-FMSP;DELEGACIA DE POLÍCIA DE ORLEANS;1;2018-05-07 00:00:00;ADVERTENCIA;"Por gerar problemas administrativos e paralisação da obra.
";Aplicação de advertência para a empresa Dartora Empreiteira de Mão de Obra Ltda.
CT-00538/2017/SSP-FMSP;DELEGACIA DE POLICIA;1;2018-05-03 00:00:00;Atraso;Advertância por atraso na entrega dos protocolos de aprovação do projeto Hidrossanitário e Preventivo Contra Incêndio.;Solicitamos a entrega dos protocolos com o máximo de urgência.
CT-00538/2017/SSP-FMSP;DELEGACIA DE POLICIA;2;2018-07-10 00:00:00;Advertência 01;Atraso na entrega dos projetos, não cumprindo o cronograma estabelecido entre as partes;Manifestação da empresa.
CT-00538/2017/SSP-FMSP;DELEGACIA DE POLICIA;3;2019-04-16 00:00:00;Advertencia 03;"Atraso na entrega dos projetos, não cumprindo o cronograma estabelecido entre as partes. Entramos em contato por diversas vezes com o Sr° Douglas da empresa Engeder na tentativa de dar celeridade à entrega e elaboração dos projetos (objeto do contrato). Sempre que foi indagado sobre o não cumprimento dos acordos, o senhor Douglas usou a mesma resposta ""me esqueci"" como justificativa para o atraso.";Manifestação da empresa.
CT-00045/2017/SES-FESAUDE;HOSPITAL E MATERNIDADE TEREZA RAMOS;1;2021-05-18 00:00:00;Inexecução contratual ;"Não houve a continuidade e execução dos serviços: Piso cerâmico porcelanato PEI-5/argamassa colante; Piso podotátil borracha sintética 5mm;  Extintor de incêndio PQS 4Kg e serviços complementares; Não houve formalização da paralisação dos serviços";Solicitamos uma justificativa plausível da não continuidade dos serviços, sem a provocação formal da empresa á contratante e a autorização da mesma
CT-00045/2017/SES-FESAUDE;HOSPITAL E MATERNIDADE TEREZA RAMOS;2;2021-06-30 00:00:00;Descontinuidade da execução dos serviços ;"Não houve continuidade na execução dos serviços contratuais nas prorrogações de prazo, assim como não houve formalização dos motivos que ensejaram a paralização. Falta executar piso cerâmico Porcelanato PEI-5; Piso Podotátil; Extintores de incêndio PQS 4kg; Placa de Registro Histórico, entre outros serviços constante no respectivo contrato; Em relação aos serviços executados, alguns vidros se encontra trincado, parte do forro danificado e infiltrações;  ";"A imediata execução dos contratuais e reparo dos serviços executados, considerando que a vigência contratual se encerra em 19 dias; caso contrário, formalizar o pedido de glosa contratual, juntamente com as justificativas técnicas.    "
CT-00007/2017/SES-FESAUDE;HOSPITAL REGIONAL LENOIR VARGAS FERREIRA;1;2019-08-26 00:00:00;Findando o prazo de execução dos serviços;A aproximação do termino contratual e existir aprovações necessárias e previstas no edital, a qual não foram iniciadas;Seja agilizado o andamento dos processos, tendo em vista o término contratual 08/10/2019, sendo que as aprovações podem demorar por depender de órgãos externos. Que seja elaborado um novo cronograma das atividades e caso necessário aditar prazo ao contrato que seja encaminhada solicitação juntamente
CT-00007/2017/SES-FESAUDE;HOSPITAL REGIONAL LENOIR VARGAS FERREIRA;2;2021-03-22 00:00:00;Descumprimento de prazos;Não realizar a apresentação dos elementos necessários no prazo estipulado e morosidade na finalização do produto contratado, considerando o prazo inicialmente contratado;Apresente nova  data para entrega dos produtos solicitados, sedo esta  em caráter de urgência e coerente com as necessidades do Estado e sua complexidade. Considerando que a obra deve ser licitada e estar executada e meados de 2021
CT-00007/2017/SES-FESAUDE;HOSPITAL REGIONAL LENOIR VARGAS FERREIRA;3;2021-04-27 00:00:00;Morosidade na entrega do produto contratado;Considerando que a contratada vem tratando a entrega do objeto com vagarosidade apesar de, ter sido informada da necessidade e importância deste material a contratada. Considerando a falta de retorno aos últimos e-mails encaminhados. Considerando que o prazo de contrato aproxima-se do término. Considerando que ainda é necessário realizar verificações nos documentos antes da finalização do contrato;Entrega do produto contratado em caráter de urgência. Caso não finalizado, apresentar cronograma para a entrega num prazo de 24 horas a contar do recebimento deste, não devendo ultrapassar 15 dias esta previsão.
CT-00007/2017/SES-FESAUDE;HOSPITAL REGIONAL LENOIR VARGAS FERREIRA;4;2021-06-10 00:00:00;Cronograma em atraso; atraso no cronograma do contrato que por sua vez expira em 11/06/2021. A contratada não apresentou a entrega dos produtos finais, tão pouco demonstra evolução no desenvolvimento do objeto contratado.;Apresentar posicionamento quanto ao andamento dos serviços, encaminhar cronograma de previsão de entrega (prazo inferior a 30 dias), apresentar justificativa do atraso no cronograma do contrato. A contratada deve formalizar resposta no prazo de 72 horas a contar do recebimento deste. 
CT-00007/2017/SES-FESAUDE;HOSPITAL REGIONAL LENOIR VARGAS FERREIRA;5;2021-12-29 00:00:00;Agilidade na entrega da documentação;Atraso na entrega dos últimos ajustes da documentação técnica;Prazo de 7 dias a contar da data de hoje para a entrega da documentação completa, com os devidos ajustes requeridos pela fiscalização
CT-00013/2017/SES-FESAUDE;HOSPITAL REGIONAL LENOIR VARGAS FERREIRA;1;2018-08-16 00:00:00;Ausência de EPC e EPI;Ausência de equipamentos e medidas protetivas correspondente a segurança no trabalho, funcionários expostos a risco de queda em altura.;Aplicar com urgência as medidas de proteção cabíveis ao trabalho realizado e exigir o cumprimento por parte dos funcionários
CT-00013/2017/SES-FESAUDE;HOSPITAL REGIONAL LENOIR VARGAS FERREIRA;2;2019-01-17 00:00:00;Segunda advertência ;"Atraso na execução das Obras 01, 02 e 04 , passarela de interligação, rol de escadaria e urbanismo respectivamente devida a baixa produtividade.
Em visita a obra no dia 15-01-2019 verificou-se a ausência de guarda corpo em locais de risco, alguns materiais armazenados de maneira irregular, ausência do diário de obras no local e ausência das placas da obra";Cronograma atualizado e a agilidade na execução, instalação dos elementos de segurança conforme programa apresentado, melhorar a organização e armazenamento dos matérias buscando atender a NR18, destinar local de fácil acesso e visível para diário de obras e projetos e instalar as placas da obra em local visível
CT-00013/2017/SES-FESAUDE;HOSPITAL REGIONAL LENOIR VARGAS FERREIRA;3;2019-05-22 00:00:00;Ritmo lento de obra;Notório atraso na execução dos serviços contratados, devidamente comprovados pela evolução lenta das obras da passarela, escada protegida e urbanismo. Em vistoria no dia 17/05/2019 as 15:30 horas verificou-se a ausência completa de atividades nestas obras apresentadas.;atenção a finalização destas obras com urgência, visto que os serviços necessário encontram-se contratados e independem do aditivo referente ao sistema preventivo. Obs.: Aos serviços contratados e não executados que foram impactados pelo atraso da obra, não será concedido reajustamento. 
CT-00013/2017/SES-FESAUDE;HOSPITAL REGIONAL LENOIR VARGAS FERREIRA;4;2020-11-20 00:00:00;Reinício da Obra;Considerando a ordem de reinício em 06/10/2020, a previsão repassada pela contratada de retomada em 14 dias. Visto que em vistoria no dia 19/11/2020 não observou-se atividades na obra;Retomada dos serviços de imediato, finalização da obra tendo em vista o prazo exíguo e apresentação de um cronograma atualizado.
CT-00013/2017/SES-FESAUDE;HOSPITAL REGIONAL LENOIR VARGAS FERREIRA;5;2021-04-27 00:00:00;Advertência 05 - HRO - Paloma Construções;O não comparecimento de equipe de trabalho no dia programado junto ao HRO para atividades no centro cirúrgico, atentamos que há o envolvimento de equipes e principalmente programação de cirurgias. Adverte-se por não retirar os entulho oriundo dos serviços prestados na execução do passeio público, mesmo após solicitação. Adverte-se por não apresentar o cronograma das atividades a serem realizadas conforme e-mail (09-04-2021);Encaminhamento de um cronograma com os serviços necessários a finalização num prazo de 24 hrs, retirada com brevidade do entulho deixado no HRO no prazo de 24 hrs e a compreensão e comprometimento da contratada as programações realizadas em conjunto com o HRO.
CT-00013/2017/SES-FESAUDE;HOSPITAL REGIONAL LENOIR VARGAS FERREIRA;6;2021-08-30 00:00:00;Passeio Público, Centro cirúrgico;Passeio público executado recentemente encontra-se danificado e causando risco de acidente aos pedestres. O entulho gerado neste serviço ainda encontra-se depositado em local inapropriado. Finalizar os serviços do centro cirúrgico, iniciado porém ausente alguns acabamentos, sendo momento oportuno para realização de tal devida baixa demanda de cirurgias;Seja realizada a correção do passeio público, de forma a garantir o perfeito travamento, compatível com o uso, garantindo a qualidade e resistência necessária. Realizando a retirada dos entulhos após o serviço. Programar com o HRO a execução dos acabamentos necessários no centro cirúrgico. Solicita-se atendimento de forma breve, dentro de 5 dias.
CT-00013/2017/SES-FESAUDE;HOSPITAL REGIONAL LENOIR VARGAS FERREIRA;7;2021-11-05 00:00:00;Demora na execução dos reparos;A Secretaria de Saúde e a construtora Palomaa através de reunião presencial e descrito em Ata, acordaram que os serviços como reparo das patologias, seriam realizados na semana seguinte. Hoje ainda os serviços não começaram a ser executados.;Solicitamos que a empresa retome os trabalhos e realizem os reparos das patologias causadas na edificação IMEDIATAMENTE, caso contrário, sugerimos que a empresa sofra as sanções cabíveis conforme descrito em contrato.
CT-00013/2017/SES-FESAUDE;HOSPITAL REGIONAL LENOIR VARGAS FERREIRA;8;2021-12-08 00:00:00;Advertência 8;Demora no reparo dos serviços executados. Foi enviado um email na data de 29 de novembro de 2021, o qual a empresa não se manifestou e nem reparou os serviços.;Solicito a manifestação urgente e a finalização e entrega da obra.
CT-00013/2017/SES-FESAUDE;HOSPITAL REGIONAL LENOIR VARGAS FERREIRA;9;2021-12-15 00:00:00;Advertência 9;Demora no reparo dos serviços executados. Foi enviado um e-mail na data de 29 de novembro de 2021, o qual a empresa AINDA NÃO reparou os serviços.;Solicitamos a FINALIZAÇÃO DOS SERVIÇOS PARA A ENTREGA DA OBRA.
CT-00110/2017/SST;CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS;1;2018-05-04 00:00:00;Cronograma em atraso;Conforme exposto pela empresa, devido ao atraso na entrega de projetos executivos e entradas de energia e agua por parte da Prefeitura Municipal de Atalanta, ocorreu demora no inicio efetivo da obra. ;Que se adapte a um novo cronograma apresentado pela empresa, solicitando aditivo de prazo contratual para atender o perfeito cumprimento da execução do contrato.
CT-00110/2017/SST;CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS;2;2020-01-13 00:00:00;Obra em atraso ;A obra em questão encontra-se em atraso devido ao fato dos serviços terem sido paralisados pela contratada. Desde a publicação de portaria convocando nova fiscalização para a presente edificação (conforme ART 7148483-8) nenhum serviço foi executado, comprometendo a conclusão dos serviços e posterior entrega da obra. ;"Solicita-se que a contratada retome os serviços em um prazo de 5 dias úteis e readéque o cronograma apresentado inicialmente para que a entrega da obra seja realizada sem prejuízos de prazo; caso contrário, a contratada deverá solicitar aditivo de prazo contratual para atender o perfeito cumprimento da execução do contrato."
CT-00114/2017/SST;CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS;1;2018-06-11 00:00:00;Aumento da equipe de trabalho;Atraso no cronogram;Solicitamos que a empresa reforce a equipe de trabalho, para cumprir os prazos contratuais.
CT-00115/2017/SST;CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS;1;2020-01-13 00:00:00;Obra em atraso;A obra em questão encontra-se em atraso devido ao fato dos serviços terem sido paralisados pela contratada. Desde a publicação de portaria convocando nova fiscalização para a presente edificação (conforme ART 7159209-6) nenhum serviço foi executado, comprometendo a conclusão dos serviços e posterior entrega da obra. ;"Solicita-se que a contratada retome os serviços em um prazo de 5 dias úteis e readéque o cronograma apresentado inicialmente para que a entrega da obra seja realizada sem prejuízos de prazo; caso contrário, a contratada deverá solicitar aditivo de prazo contratual para atender o perfeito cumprimento da execução do contrato."
CT-00116/2017/SST;CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS;1;2018-03-22 00:00:00;Inexecução Contratual;"A empresa não está cumprindo o cronograma físico financeiro assinado em contrato; A obra encontra-se sem tapumes, Instalação provisória unid. sanitária; A obra não possui placa; Alguns funcionários sem Equipamentos de Proteção Individuais E.P.I; e Ausência de Diário de Obra";Que a empresa deverá cumprir rigorosamente o cronograma assinado entre as partes. Providenciar instalação de tapumes, Instalação provisória unid. sanitária, e disponibilizar diário de obra na obra
CT-00116/2017/SST;CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS;2;2018-04-19 00:00:00;Inexecução contratual;"Descumprimento do cronograma físico financeiro; Não foi executado o serviço ""Instalação provisória de unid. sanit. c/ 5,00m²"" ";"A empresa deverá cumprir o cronograma físico financeiro conforme o estipulado no contrato e executar o serviço ""Instalação provisória de unid. sanit. c/ 5,00m²"" "
CT-00116/2017/SST;CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS;3;2018-06-07 00:00:00;Inexecução Contratual e Ritmo Lento ;"A empresa deverá cumprir o cronograma físico financeiro conforme o estipulado no contrato, executar o serviço ""Instalação provisória de unid. sanit. c/ 5,00m²"", alterar a alturas das Janelas dos banheiros conforme consta em projeto. ";"O cumprimento do cronograma físico financeiro; A execução o serviço ""Instalação provisória de unid. sanit. c/ 5,00m²""; A alteração da altura janelas dos banheiros da recepção conforme consta em projeto. (A fiscaldização já solicitou a alteração para conformidade com o projeto).  "
